"Sex","Pclass","PassengerId","Survived","Age","SibSp","Parch","Fare","title_Mr","title_Mrs","title_Miss","title_Master","title_Royalty","title_Officer","Embarked_C","Embarked_S","Embarked_Q"
0,1,306,1,0.92,1,2,151.55,0,0,0,1,0,0,0,1,0
0,1,803,1,11,1,2,120,0,0,0,1,0,0,0,1,0
0,1,446,1,4,0,2,81.8583,0,0,0,1,0,0,0,1,0
0,1,551,1,17,0,2,110.8833,1,0,0,0,0,0,1,0,0
0,1,264,0,40,0,0,0,1,0,0,0,0,0,0,1,0
0,1,24,1,28,0,0,35.5,1,0,0,0,0,0,0,1,0
0,1,749,0,19,1,0,53.1,1,0,0,0,0,0,0,1,0
0,1,63,0,45,1,0,83.475,1,0,0,0,0,0,0,1,0
0,1,225,1,38,1,0,90,1,0,0,0,0,0,0,1,0
0,1,463,0,47,0,0,38.5,1,0,0,0,0,0,0,1,0
0,1,790,0,46,0,0,79.2,1,0,0,0,0,0,1,0,0
0,1,454,1,49,1,0,89.1042,1,0,0,0,0,0,1,0,0
0,1,103,0,21,0,1,77.2875,1,0,0,0,0,0,0,1,0
0,1,794,0,41.5,0,0,30.6958,1,0,0,0,0,0,1,0,0
0,1,682,1,27,0,0,76.7292,1,0,0,0,0,0,1,0,0
0,1,340,0,45,0,0,35.5,1,0,0,0,0,0,0,1,0
0,1,140,0,24,0,0,79.2,1,0,0,0,0,0,1,0,0
0,1,588,1,60,1,1,79.2,1,0,0,0,0,0,1,0,0
0,1,263,0,52,1,1,79.65,1,0,0,0,0,0,0,1,0
0,1,868,0,31,0,0,50.4958,1,0,0,0,0,0,0,1,0
0,1,36,0,42,1,0,52,1,0,0,0,0,0,0,1,0
0,1,516,0,47,0,0,34.0208,1,0,0,0,0,0,0,1,0
0,1,493,0,55,0,0,30.5,1,0,0,0,0,0,0,1,0
0,1,374,0,22,0,0,135.6333,1,0,0,0,0,0,1,0,0
0,1,680,1,36,0,1,512.3292,1,0,0,0,0,0,1,0,0
0,1,7,0,54,0,0,51.8625,1,0,0,0,0,0,0,1,0
0,1,468,0,56,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,488,0,58,0,0,29.7,1,0,0,0,0,0,1,0,0
0,1,171,0,61,0,0,33.5,1,0,0,0,0,0,0,1,0
0,1,98,1,23,0,1,63.3583,1,0,0,0,0,0,1,0,0
0,1,708,1,42,0,0,26.2875,1,0,0,0,0,0,0,1,0
0,1,28,0,19,3,2,263,1,0,0,0,0,0,0,1,0
0,1,506,0,18,1,0,108.9,1,0,0,0,0,0,1,0,0
0,1,702,1,35,0,0,26.2875,1,0,0,0,0,0,0,1,0
0,1,546,0,64,0,0,26,1,0,0,0,0,0,0,1,0
0,1,461,1,48,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,584,0,36,0,0,40.125,1,0,0,0,0,0,1,0,0
0,1,558,0,41.5,0,0,227.525,1,0,0,0,0,0,1,0,0
0,1,508,1,41.5,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,494,0,71,0,0,49.5042,1,0,0,0,0,0,1,0,0
0,1,332,0,45.5,0,0,28.5,1,0,0,0,0,0,0,1,0
0,1,556,0,62,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,274,0,37,0,1,29.7,1,0,0,0,0,0,1,0,0
0,1,125,0,54,0,1,77.2875,1,0,0,0,0,0,0,1,0
0,1,285,0,41.5,0,0,26,1,0,0,0,0,0,0,1,0
0,1,545,0,50,1,0,106.425,1,0,0,0,0,0,1,0,0
0,1,253,0,62,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,626,0,61,0,0,32.3208,1,0,0,0,0,0,0,1,0
0,1,249,1,37,1,1,52.5542,1,0,0,0,0,0,0,1,0
0,1,622,1,42,1,0,52.5542,1,0,0,0,0,0,0,1,0
0,1,378,0,27,0,2,211.5,1,0,0,0,0,0,1,0,0
0,1,138,0,37,1,0,53.1,1,0,0,0,0,0,0,1,0
0,1,439,0,64,1,4,263,1,0,0,0,0,0,0,1,0
0,1,603,0,41.5,0,0,42.4,1,0,0,0,0,0,0,1,0
0,1,97,0,71,0,0,34.6542,1,0,0,0,0,0,1,0,0
0,1,513,1,36,0,0,26.2875,1,0,0,0,0,0,0,1,0
0,1,431,1,28,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,634,0,41.5,0,0,0,1,0,0,0,0,0,0,1,0
0,1,352,0,41.5,0,0,35,1,0,0,0,0,0,0,1,0
0,1,435,0,50,1,0,55.9,1,0,0,0,0,0,0,1,0
0,1,691,1,31,1,0,57,1,0,0,0,0,0,0,1,0
0,1,371,1,25,1,0,55.4417,1,0,0,0,0,0,1,0,0
0,1,111,0,47,0,0,52,1,0,0,0,0,0,0,1,0
0,1,858,1,51,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,873,0,33,0,0,5,1,0,0,0,0,0,0,1,0
0,1,485,1,25,1,0,91.0792,1,0,0,0,0,0,1,0,0
0,1,890,1,26,0,0,30,1,0,0,0,0,0,1,0,0
0,1,84,0,28,0,0,47.1,1,0,0,0,0,0,0,1,0
0,1,663,0,47,0,0,25.5875,1,0,0,0,0,0,0,1,0
0,1,56,1,41.5,0,0,35.5,1,0,0,0,0,0,0,1,0
0,1,35,0,28,1,0,82.1708,1,0,0,0,0,0,1,0,0
0,1,296,0,41.5,0,0,27.7208,1,0,0,0,0,0,1,0,0
0,1,55,0,65,0,1,61.9792,1,0,0,0,0,0,1,0,0
0,1,175,0,56,0,0,30.6958,1,0,0,0,0,0,1,0,0
0,1,660,0,58,0,2,113.275,1,0,0,0,0,0,1,0,0
0,1,783,0,29,0,0,30,1,0,0,0,0,0,0,1,0
0,1,299,1,41.5,0,0,30.5,1,0,0,0,0,0,0,1,0
0,1,742,0,36,1,0,78.85,1,0,0,0,0,0,0,1,0
0,1,476,0,41.5,0,0,52,1,0,0,0,0,0,0,1,0
0,1,448,1,34,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,119,0,24,0,1,247.5208,1,0,0,0,0,0,1,0,0
0,1,672,0,31,1,0,52,1,0,0,0,0,0,0,1,0
0,1,271,0,41.5,0,0,31,1,0,0,0,0,0,0,1,0
0,1,188,1,45,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,391,1,36,1,2,120,1,0,0,0,0,0,0,1,0
0,1,807,0,39,0,0,0,1,0,0,0,0,0,0,1,0
0,1,528,0,41.5,0,0,221.7792,1,0,0,0,0,0,0,1,0
0,1,738,1,35,0,0,512.3292,1,0,0,0,0,0,1,0,0
0,1,608,1,27,0,0,30.5,1,0,0,0,0,0,0,1,0
0,1,453,0,30,0,0,27.75,1,0,0,0,0,0,1,0,0
0,1,699,0,49,1,1,110.8833,1,0,0,0,0,0,1,0,0
0,1,156,0,51,0,1,61.3792,1,0,0,0,0,0,1,0,0
0,1,840,1,41.5,0,0,29.7,1,0,0,0,0,0,1,0,0
0,1,337,0,29,1,0,66.6,1,0,0,0,0,0,0,1,0
0,1,741,1,41.5,0,0,30,1,0,0,0,0,0,0,1,0
0,1,457,0,65,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,631,1,80,0,0,30,1,0,0,0,0,0,0,1,0
0,1,605,1,35,0,0,26.55,1,0,0,0,0,0,1,0,0
0,1,713,1,48,1,0,52,1,0,0,0,0,0,0,1,0
0,1,725,1,27,1,0,53.1,1,0,0,0,0,0,0,1,0
0,1,333,0,38,0,1,153.4625,1,0,0,0,0,0,0,1,0
0,1,210,1,40,0,0,31,1,0,0,0,0,0,1,0,0
0,1,93,0,46,1,0,61.175,1,0,0,0,0,0,0,1,0
0,1,65,0,41.5,0,0,27.7208,1,0,0,0,0,0,1,0,0
0,1,646,1,48,1,0,76.7292,1,0,0,0,0,0,1,0,0
0,1,712,0,41.5,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,816,0,41.5,0,0,0,1,0,0,0,0,0,0,1,0
0,1,186,0,41.5,0,0,50,1,0,0,0,0,0,0,1,0
0,1,573,1,36,0,0,26.3875,1,0,0,0,0,0,0,1,0
0,1,169,0,41.5,0,0,25.925,1,0,0,0,0,0,0,1,0
0,1,633,1,32,0,0,30.5,0,0,0,0,0,1,1,0,0
0,1,746,0,70,1,1,71,0,0,0,0,0,1,0,1,0
0,1,537,0,45,0,0,26.55,0,0,0,0,0,1,0,1,0
0,1,648,1,56,0,0,35.5,0,0,0,0,0,1,1,0,0
0,1,695,0,60,0,0,26.55,0,0,0,0,0,1,0,1,0
0,1,246,0,44,2,0,90,0,0,0,0,0,1,0,0,1
0,1,450,1,52,0,0,30.5,0,0,0,0,0,1,0,1,0
0,1,767,0,52,0,0,39.6,0,0,0,0,0,1,1,0,0
0,1,661,1,50,2,0,133.65,0,0,0,0,0,1,0,1,0
0,1,600,1,49,1,0,56.9292,0,0,0,0,1,0,1,0,0
0,1,823,0,38,0,0,0,0,0,0,0,1,0,0,1,0
0,1,31,0,40,0,0,27.7208,0,0,0,0,1,0,1,0,0
0,2,756,1,0.67,1,1,14.5,0,0,0,1,0,0,0,1,0
0,2,79,1,0.83,0,2,29,0,0,0,1,0,0,0,1,0
0,2,832,1,0.83,1,1,18.75,0,0,0,1,0,0,0,1,0
0,2,408,1,3,1,1,18.75,0,0,0,1,0,0,0,1,0
0,2,194,1,3,1,1,26,0,0,0,1,0,0,0,1,0
0,2,550,1,8,1,1,36.75,0,0,0,1,0,0,0,1,0
0,2,184,1,1,2,1,39,0,0,0,1,0,0,0,1,0
0,2,828,1,1,0,2,37.0042,0,0,0,1,0,0,1,0,0
0,2,341,1,2,1,1,26,0,0,0,1,0,0,0,1,0
0,2,118,0,29,1,0,21,1,0,0,0,0,0,0,1,0
0,2,666,0,32,2,0,73.5,1,0,0,0,0,0,0,1,0
0,2,222,0,27,0,0,13,1,0,0,0,0,0,0,1,0
0,2,146,0,19,1,1,36.75,1,0,0,0,0,0,0,1,0
0,2,724,0,50,0,0,13,1,0,0,0,0,0,0,1,0
0,2,344,0,25,0,0,13,1,0,0,0,0,0,0,1,0
0,2,587,0,47,0,0,15,1,0,0,0,0,0,0,1,0
0,2,278,0,30,0,0,0,1,0,0,0,0,0,0,1,0
0,2,842,0,16,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,343,0,28,0,0,13,1,0,0,0,0,0,0,1,0
0,2,73,0,21,0,0,73.5,1,0,0,0,0,0,0,1,0
0,2,239,0,19,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,233,0,59,0,0,13.5,1,0,0,0,0,0,0,1,0
0,2,235,0,24,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,544,1,32,1,0,26,1,0,0,0,0,0,0,1,0
0,2,464,0,48,0,0,13,1,0,0,0,0,0,0,1,0
0,2,266,0,36,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,548,1,30,0,0,13.8625,1,0,0,0,0,0,1,0,0
0,2,345,0,36,0,0,13,1,0,0,0,0,0,0,1,0
0,2,733,0,30,0,0,0,1,0,0,0,0,0,0,1,0
0,2,440,0,31,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,467,0,30,0,0,0,1,0,0,0,0,0,0,1,0
0,2,735,0,23,0,0,13,1,0,0,0,0,0,0,1,0
0,2,758,0,18,0,0,11.5,1,0,0,0,0,0,0,1,0
0,2,638,0,31,1,1,26.25,1,0,0,0,0,0,0,1,0
0,2,218,0,42,1,0,27,1,0,0,0,0,0,0,1,0
0,2,123,0,32.5,1,0,30.0708,1,0,0,0,0,0,1,0,0
0,2,100,0,34,1,0,26,1,0,0,0,0,0,0,1,0
0,2,220,0,30,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,179,0,30,0,0,13,1,0,0,0,0,0,0,1,0
0,2,723,0,34,0,0,13,1,0,0,0,0,0,0,1,0
0,2,386,0,18,0,0,73.5,1,0,0,0,0,0,0,1,0
0,2,686,0,25,1,2,41.5792,1,0,0,0,0,0,1,0,0
0,2,229,0,18,0,0,13,1,0,0,0,0,0,0,1,0
0,2,673,0,70,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,149,0,36.5,0,2,26,1,0,0,0,0,0,0,1,0
0,2,801,0,34,0,0,13,1,0,0,0,0,0,0,1,0
0,2,22,1,34,0,0,13,1,0,0,0,0,0,0,1,0
0,2,884,0,28,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,362,0,29,1,0,27.7208,1,0,0,0,0,0,1,0,0
0,2,145,0,18,0,0,11.5,1,0,0,0,0,0,0,1,0
0,2,121,0,21,2,0,73.5,1,0,0,0,0,0,0,1,0
0,2,243,0,29,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,675,0,30,0,0,0,1,0,0,0,0,0,0,1,0
0,2,406,0,34,1,0,21,1,0,0,0,0,0,0,1,0
0,2,583,0,54,0,0,26,1,0,0,0,0,0,0,1,0
0,2,530,0,23,2,1,11.5,1,0,0,0,0,0,0,1,0
0,2,289,1,42,0,0,13,1,0,0,0,0,0,0,1,0
0,2,237,0,44,1,0,26,1,0,0,0,0,0,0,1,0
0,2,414,0,30,0,0,0,1,0,0,0,0,0,0,1,0
0,2,293,0,36,0,0,12.875,1,0,0,0,0,0,1,0,0
0,2,659,0,23,0,0,13,1,0,0,0,0,0,0,1,0
0,2,620,0,26,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,136,0,23,0,0,15.0458,1,0,0,0,0,0,1,0,0
0,2,135,0,25,0,0,13,1,0,0,0,0,0,0,1,0
0,2,595,0,37,1,0,26,1,0,0,0,0,0,0,1,0
0,2,18,1,30,0,0,13,1,0,0,0,0,0,0,1,0
0,2,477,0,34,1,0,21,1,0,0,0,0,0,0,1,0
0,2,182,0,30,0,0,15.05,1,0,0,0,0,0,1,0,0
0,2,792,0,16,0,0,26,1,0,0,0,0,0,0,1,0
0,2,685,0,60,1,1,39,1,0,0,0,0,0,0,1,0
0,2,309,0,30,1,0,24,1,0,0,0,0,0,1,0,0
0,2,674,1,31,0,0,13,1,0,0,0,0,0,0,1,0
0,2,715,0,52,0,0,13,1,0,0,0,0,0,0,1,0
0,2,71,0,32,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,315,0,43,1,1,26.25,1,0,0,0,0,0,0,1,0
0,2,571,1,62,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,398,0,46,0,0,26,1,0,0,0,0,0,0,1,0
0,2,729,0,25,1,0,26,1,0,0,0,0,0,0,1,0
0,2,813,0,35,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,706,0,39,0,0,26,1,0,0,0,0,0,0,1,0
0,2,656,0,24,2,0,73.5,1,0,0,0,0,0,0,1,0
0,2,214,0,30,0,0,13,1,0,0,0,0,0,0,1,0
0,2,563,0,28,0,0,13.5,1,0,0,0,0,0,0,1,0
0,2,862,0,21,1,0,11.5,1,0,0,0,0,0,0,1,0
0,2,796,0,39,0,0,13,1,0,0,0,0,0,0,1,0
0,2,865,0,24,0,0,13,1,0,0,0,0,0,0,1,0
0,2,192,0,19,0,0,13,1,0,0,0,0,0,0,1,0
0,2,240,0,33,0,0,12.275,1,0,0,0,0,0,0,1,0
0,2,21,0,35,0,0,26,1,0,0,0,0,0,0,1,0
0,2,227,1,19,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,451,0,36,1,2,27.75,1,0,0,0,0,0,0,1,0
0,2,809,0,39,0,0,13,1,0,0,0,0,0,0,1,0
0,2,419,0,30,0,0,13,1,0,0,0,0,0,0,1,0
0,2,34,0,66,0,0,10.5,1,0,0,0,0,0,0,1,0
0,2,734,0,23,0,0,13,1,0,0,0,0,0,0,1,0
0,2,667,0,25,0,0,13,1,0,0,0,0,0,0,1,0
0,2,696,0,52,0,0,13.5,1,0,0,0,0,0,0,1,0
0,2,482,0,30,0,0,0,1,0,0,0,0,0,0,1,0
0,2,818,0,31,1,1,37.0042,1,0,0,0,0,0,1,0,0
0,2,552,0,27,0,0,26,1,0,0,0,0,0,0,1,0
0,2,887,0,27,0,0,13,0,0,0,0,0,1,0,1,0
0,2,399,0,23,0,0,10.5,0,0,0,0,0,1,0,1,0
0,2,150,0,42,0,0,13,0,0,0,0,0,1,0,1,0
0,2,151,0,51,0,0,12.525,0,0,0,0,0,1,0,1,0
0,2,849,0,28,0,1,33,0,0,0,0,0,1,0,1,0
0,2,627,0,57,0,0,12.35,0,0,0,0,0,1,0,0,1
0,2,318,0,54,0,0,14,0,0,0,0,0,1,0,1,0
0,2,250,0,54,1,0,26,0,0,0,0,0,1,0,1,0
0,3,64,0,4,3,2,27.9,0,0,0,1,0,0,0,1,0
0,3,870,1,4,1,1,11.1333,0,0,0,1,0,0,0,1,0
0,3,8,0,2,3,1,21.075,0,0,0,1,0,0,0,1,0
0,3,17,0,2,4,1,29.125,0,0,0,1,0,0,0,0,1
0,3,262,1,3,4,2,31.3875,0,0,0,1,0,0,0,1,0
0,3,789,1,1,1,2,20.575,0,0,0,1,0,0,0,1,0
0,3,788,0,8,4,1,29.125,0,0,0,1,0,0,0,0,1
0,3,183,0,9,4,2,31.3875,0,0,0,1,0,0,0,1,0
0,3,166,1,9,0,2,20.525,0,0,0,1,0,0,0,1,0
0,3,387,0,1,5,2,46.9,0,0,0,1,0,0,0,1,0
0,3,60,0,11,5,2,46.9,0,0,0,1,0,0,0,1,0
0,3,804,1,0.42,0,1,8.5167,0,0,0,1,0,0,1,0,0
0,3,710,1,6,1,1,15.2458,0,0,0,1,0,0,1,0,0
0,3,490,1,9,1,1,15.9,0,0,0,1,0,0,0,1,0
0,3,172,0,4,4,1,29.125,0,0,0,1,0,0,0,0,1
0,3,177,0,6,3,1,25.4667,0,0,0,1,0,0,0,1,0
0,3,160,0,6,8,2,69.55,0,0,0,1,0,0,0,1,0
0,3,820,0,10,3,2,27.9,0,0,0,1,0,0,0,1,0
0,3,165,0,1,4,1,39.6875,0,0,0,1,0,0,0,1,0
0,3,851,0,4,4,2,31.275,0,0,0,1,0,0,0,1,0
0,3,481,0,9,5,2,46.9,0,0,0,1,0,0,0,1,0
0,3,825,0,2,4,1,39.6875,0,0,0,1,0,0,0,1,0
0,3,126,1,12,1,0,11.2417,0,0,0,1,0,0,1,0,0
0,3,66,1,6,1,1,15.2458,0,0,0,1,0,0,1,0,0
0,3,752,1,6,0,1,12.475,0,0,0,1,0,0,0,1,0
0,3,279,0,7,4,1,29.125,0,0,0,1,0,0,0,0,1
0,3,349,1,3,1,1,15.9,0,0,0,1,0,0,0,1,0
0,3,51,0,7,4,1,39.6875,0,0,0,1,0,0,0,1,0
0,3,1,0,22,1,0,7.25,1,0,0,0,0,0,0,1,0
0,3,366,0,30,0,0,7.25,1,0,0,0,0,0,0,1,0
0,3,852,0,74,0,0,7.775,1,0,0,0,0,0,0,1,0
0,3,732,0,11,0,0,18.7875,1,0,0,0,0,0,1,0,0
0,3,5,0,35,0,0,8.05,1,0,0,0,0,0,0,1,0
0,3,6,0,26,0,0,8.4583,1,0,0,0,0,0,0,0,1
0,3,128,1,24,0,0,7.1417,1,0,0,0,0,0,0,1,0
0,3,372,0,18,1,0,6.4958,1,0,0,0,0,0,0,1,0
0,3,373,0,19,0,0,8.05,1,0,0,0,0,0,0,1,0
0,3,739,0,26,0,0,7.8958,1,0,0,0,0,0,0,1,0
0,3,740,0,26,0,0,7.8958,1,0,0,0,0,0,0,1,0
0,3,13,0,20,0,0,8.05,1,0,0,0,0,0,0,1,0
0,3,14,0,39,1,5,31.275,1,0,0,0,0,0,0,1,0
0,3,379,0,20,0,0,4.0125,1,0,0,0,0,0,1,0,0
0,3,380,0,19,0,0,7.775,1,0,0,0,0,0,0,1,0
0,3,745,1,31,0,0,7.925,1,0,0,0,0,0,0,1,0
0,3,139,0,16,0,0,9.2167,1,0,0,0,0,0,0,1,0
0,3,383,0,32,0,0,7.925,1,0,0,0,0,0,0,1,0
0,3,869,0,26,0,0,9.5,1,0,0,0,0,0,0,1,0
0,3,385,0,26,0,0,7.8958,1,0,0,0,0,0,0,1,0
0,3,750,0,31,0,0,7.75,1,0,0,0,0,0,0,0,1
0,3,509,0,28,0,0,22.525,1,0,0,0,0,0,0,1,0
0,3,389,0,26,0,0,7.7292,1,0,0,0,0,0,0,0,1
0,3,754,0,23,0,0,7.8958,1,0,0,0,0,0,0,1,0
0,3,27,0,26,0,0,7.225,1,0,0,0,0,0,1,0,0
0,3,392,1,21,0,0,7.7958,1,0,0,0,0,0,0,1,0
0,3,393,0,28,2,0,7.925,1,0,0,0,0,0,0,1,0
0,3,30,0,26,0,0,7.8958,1,0,0,0,0,0,0,1,0
0,3,759,0,34,0,0,8.05,1,0,0,0,0,0,0,1,0
0,3,396,0,22,0,0,7.7958,1,0,0,0,0,0,0,1,0
0,3,761,0,26,0,0,14.5,1,0,0,0,0,0,0,1,0
0,3,762,0,41,0,0,7.125,1,0,0,0,0,0,0,1,0
0,3,763,1,20,0,0,7.2292,1,0,0,0,0,0,1,0,0
0,3,885,0,25,0,0,7.05,1,0,0,0,0,0,0,1,0
0,3,37,1,26,0,0,7.2292,1,0,0,0,0,0,1,0,0
0,3,38,0,21,0,0,8.05,1,0,0,0,0,0,0,1,0
0,3,281,0,65,0,0,7.75,1,0,0,0,0,0,0,0,1
0,3,404,0,28,1,0,15.85,1,0,0,0,0,0,0,1,0
